gym_code,name,region,district,address,status,note
HBD-GYM-0047,클라임 어스 장한평점,서울,동대문구,서울 동대문구 장한로2길 63,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0049,볼더생활,서울,동작구,서울 동작구 동작대로29길 69,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0052,망원클라이밍피트니스,서울,마포구,서울 마포구 월드컵로25길 131,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0054,볼더프렌즈 클라이밍,서울,마포구,서울 마포구 홍익로 25 지하3층,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0057,홍대클라이밍센터,서울,마포구,서울 마포구 동교로23길 105,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0058,신촌담장,서울,서대문구,서울 서대문구 신촌역로 10,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0062,엠씨씨실내암벽클럽,서울,서초구,서울 서초구 방배천로6길 38-1,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0068,경동클라이밍센터,서울,성북구,서울 성북구 보문로29길 49,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0070,더탑실내암벽 송파점,서울,송파구,서울 송파구 오금로18길 5,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0072,루트클라이밍,서울,송파구,서울 송파구 양재대로71길 5-14,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0088,써니사이드클라이밍,서울,은평구,서울 은평구 은평로 160,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0089,행클라임 클라이밍짐 구파발점,서울,은평구,서울 은평구 통일로 1020,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0092,클라이밍파크 종로점,서울,종로구,서울 종로구 종로 199-1,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0096,플래시볼더스 클라이밍,서울,중구,서울 중구 서애로5길 21,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0097,마스터클라이밍,서울,중랑구,서울 중랑구 용마산로115길 65,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0103,클라이밍 업더월,경기,고양시,경기 고양시 일산서구 경의로 805,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0107,티클라이밍,경기,광주시,경기 광주시 신현로 4 2층,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0108,마운틴스타 클라이밍짐,경기,구리시,경기 구리시 체육관로 82,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0111,산본클라이밍센터,경기,군포시,경기 군포시 고산로 695,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0113,디스커버리 클라임스퀘어 구래점,경기,김포시,경기 김포시 김포한강8로 410 스타프라자902,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0114,잼클라이밍,경기,김포시,경기 김포시 김포한강2로 76 301호,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0115,키클 클라이밍 풍무점,경기,김포시,경기 김포시 풍무로146번길 14 9층 901호,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0117,M2클라이밍 GYM,경기,남양주시,경기 남양주시 다산순환로 356 푸리마타워 803~804호,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0118,다이노 클라이밍짐,경기,남양주시,경기 남양주시 다산중앙로146번길 12-14 7층,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0120,조규복클라이밍센터 금곡점,경기,남양주시,경기 남양주시 석실로 696,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0123,월드클라이밍,경기,부천시,경기 부천시 원미구 상동로 90,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0125,캐치스톤클라이밍짐,경기,부천시,경기 부천시 부천로 11,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0126,팍스클라이밍센터,경기,부천시,경기 부천시 오정구 소사로 680,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0127,그립픽 클라이밍짐,경기,성남시,경기 성남시 수정구 위례광장로 104,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0128,더볼더,경기,성남시,경기 성남시 분당구 미금일로90번길 36-5,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0130,락페이스클라이밍,경기,성남시,경기 성남시 중원구 산성대로 340-1,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0132,성남스포츠클라이밍센터,경기,성남시,경기 성남시 중원구 산성대로80번길 18,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0134,스파이더실내암벽클라이밍,경기,성남시,경기 성남시 중원구 둔촌대로 106,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0135,클라임 어스 모란점,경기,성남시,경기 성남시 중원구 성남대로 1126,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0139,서수원클라이밍센터,경기,수원시,경기 수원시 장안구 하률로12번길 4,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0140,수원라온클라이밍센터,경기,수원시,경기 수원시 권선구 정조로 538 3층,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0146,클라임업 수원점,경기,수원시,경기 수원시 팔달구 권광로207번길 39,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0149,포에버클라이밍,경기,수원시,경기 수원시 영통구 영통로174번길 5,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0150,피크닉클라이밍,경기,수원시,경기 수원시 팔달구 효원로 278,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0152,캐치클라이밍짐,경기,시흥시,경기 시흥시 장현장곡로 2 701호,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0155,안산 클라이밍,경기,안산시,경기 안산시 단원구 다리간로 14 신우빌딩,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0156,클라이밍 트리클,경기,안산시,경기 안산시 단원구 화랑로 402,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0157,클럽클라이밍 안산,경기,안산시,경기 안산시 단원구 고잔로 76,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0158,안성클라이밍센터,경기,안성시,경기 안성시 대덕면 차골길 9,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0174,오르자,경기,용인시,경기 용인시 기흥구 중부대로 184,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0177,킹클라이밍,경기,의정부시,경기 의정부시 동일로 462,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0178,이천굿클라이밍,경기,이천시,경기 이천시 중리천로 76,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0180,클라임바운스 창전점,경기,이천시,"경기 이천시 이섭대천로 1229 9층901,903",미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0181,클라임원,경기,이천시,경기 이천시 이섭대천로 1458 201호,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0182,교하스포츠클라이밍짐,경기,파주시,경기 파주시 책향기로 277 2층,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0184,운정점핑클라이밍,경기,파주시,경기 파주시 미래로 624,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0187,트윈클라이밍짐,경기,평택시,경기 평택시 평택3로 30,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0188,프리월클라이밍짐 평택지제점,경기,평택시,경기 평택시 세교8길 30,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0194,문클라임,경기,화성시,경기 화성시 동탄원천로 338,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0195,볼더박스 클라임,경기,화성시,경기 화성시 경기대로 1038,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0196,아이언팜스 클라이밍센터,경기,화성시,경기 화성시 동탄구 동탄중심상가1길 35,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0197,엑스클라이밍,경기,화성시,경기 화성시 송산면 화성로330번길 3,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0199,홀드앤락클라이밍,경기,화성시,경기 화성시 남양읍 남양로 695,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0200,화성클라이밍클럽,경기,화성시,경기 화성시 효행로 287,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
